AvgSpeed,Cool,Depart,Depth,DewPoint,Heat,ResultDir,ResultSpeed,SeaLevel,Station,StnPressure,Sunrise,Sunset,Tavg,Tmax,Tmin,WetBulb,Year,Month,Day
7.55,0.0,-8.0,0.0,54.0,0.5,12.5,6.25,30.155,1.5,29.46,502.0,1849.0,64.5,68.5,59.5,58.0,2007,8,18
7.45,0.5,-6.0,0.0,62.5,0.0,10.0,5.75,29.985,1.5,29.27,503.0,1848.0,65.5,68.5,62.0,64.0,2007,8,19
5.8,7.5,2.0,0.0,68.5,0.0,16.0,1.45,29.86,1.5,29.18,504.0,1846.0,72.5,77.0,68.0,69.5,2007,8,20
6.0,12.5,7.0,0.0,70.0,0.0,17.5,3.65,29.9,1.5,29.235,505.0,1845.0,77.5,86.0,69.0,72.0,2007,8,21
8.95,15.0,9.0,0.0,70.5,0.0,21.0,5.2,29.935,1.5,29.26,506.0,1843.0,80.0,90.0,69.5,73.0,2007,8,22
10.4,14.0,7.0,0.0,69.0,0.0,21.0,8.15,29.865,1.5,29.18,508.0,1842.0,79.0,88.0,69.5,71.0,2007,8,23
7.2,10.0,4.0,0.0,67.0,0.0,25.0,5.65,29.815,1.5,29.135,509.0,1840.0,75.0,80.5,69.0,69.0,2007,8,24
6.0,6.5,2.0,0.0,63.0,0.0,19.5,2.7,29.92,1.5,29.26,510.0,1839.0,71.5,77.5,64.5,66.0,2007,8,25
5.0,5.0,0.0,0.0,55.0,0.0,11.0,3.65,30.075,1.5,29.41,511.0,1837.0,70.0,78.5,60.5,61.5,2007,8,26
7.35,5.5,0.0,0.0,59.5,0.0,16.5,6.45,30.065,1.5,29.385,512.0,1835.0,70.5,79.0,61.5,64.0,2007,8,27
8.9,14.5,9.0,0.0,65.5,0.0,20.5,8.4,29.985,1.5,29.31,513.0,1834.0,79.5,90.5,68.0,70.0,2007,8,28
8.5,12.5,7.0,0.0,64.5,0.0,3.0,5.45,30.03,1.5,29.365,514.0,1832.0,77.5,85.5,68.5,69.0,2007,8,29
10.4,2.0,-4.0,0.0,54.0,0.0,2.5,9.95,30.165,1.5,29.49,515.0,1831.0,67.0,75.0,58.5,60.5,2007,8,30
4.9,2.0,-2.0,0.0,53.0,0.0,5.0,3.45,30.18,1.5,29.495,516.0,1829.0,67.0,76.5,57.0,59.5,2007,8,31
4.7,4.5,1.0,0.0,55.5,0.0,11.0,4.3,30.21,1.5,29.515,517.0,1827.0,69.5,80.0,58.5,61.5,2007,9,1
5.5,8.0,5.0,0.0,56.5,0.0,21.0,4.5,30.14,1.5,29.44,518.0,1826.0,73.0,84.5,61.5,63.0,2007,9,2
6.0,11.5,9.0,0.0,61.0,0.0,26.0,2.5,30.08,1.5,29.39,519.0,1824.0,76.5,88.0,65.0,67.0,2007,9,3
4.65,12.5,8.0,0.0,59.5,0.0,23.0,2.5,29.995,1.5,29.31,520.0,1822.0,77.5,89.5,65.0,66.5,2007,9,4
6.6,15.0,11.0,0.0,62.5,0.0,19.0,6.4,29.95,1.5,29.275,521.0,1821.0,80.0,90.5,69.0,69.0,2007,9,5
12.55,13.5,11.0,0.0,66.5,0.0,20.0,12.35,29.915,1.5,29.24,522.0,1819.0,78.5,83.0,73.5,70.0,2007,9,6
13.45,12.5,10.0,0.0,67.5,0.0,23.0,9.95,29.845,1.5,29.18,523.0,1817.0,77.5,84.0,70.5,70.0,2007,9,7
8.3,7.0,5.0,0.0,57.5,0.0,5.0,7.2,29.99,1.5,29.32,524.0,1815.0,72.0,78.0,66.0,63.5,2007,9,8
10.4,6.5,6.0,0.0,59.0,0.0,3.0,9.65,30.045,1.5,29.385,525.0,1814.0,71.5,79.5,63.0,63.5,2007,9,9
9.35,0.0,-2.0,0.0,58.5,1.0,2.5,7.3,30.025,1.5,29.32,526.0,1812.0,64.0,73.5,54.5,61.0,2007,9,10
13.6,0.0,-4.0,0.0,44.0,4.0,29.0,11.9,29.915,1.5,29.23,527.0,1810.0,61.0,71.0,50.5,52.0,2007,9,11
5.8,0.0,-8.0,0.0,42.5,8.5,4.0,1.85,30.115,1.5,29.43,528.0,1809.0,56.5,66.5,46.0,49.5,2007,9,12
8.1,0.5,-1.0,0.0,44.0,0.5,19.5,7.7,29.985,1.5,29.265,529.0,1807.0,65.0,78.5,51.5,54.0,2007,9,13
13.2,0.0,-8.0,0.0,39.5,8.5,32.0,11.9,30.045,1.5,29.385,530.0,1805.0,56.5,66.5,46.0,48.5,2007,9,14
6.25,0.0,-14.0,0.0,34.0,14.0,34.0,1.25,30.28,1.5,29.59,531.0,1803.0,51.0,61.5,40.5,44.0,2007,9,15
7.8,0.0,-6.0,0.0,39.0,5.5,18.0,7.25,30.195,1.5,29.49,532.0,1760.0,59.5,71.5,46.5,49.5,2007,9,16
11.55,2.0,2.0,0.0,48.5,0.0,17.0,11.15,30.12,1.5,29.425,533.0,1758.0,67.0,80.0,53.5,57.0,2007,9,17
12.95,12.0,12.0,0.0,57.5,0.0,19.0,12.7,30.055,1.5,29.375,535.0,1756.0,77.0,88.5,64.5,65.0,2007,9,18
9.35,10.5,12.0,0.0,59.0,0.0,25.5,4.25,30.1,1.5,29.44,536.0,1755.0,75.5,84.0,66.5,65.0,2007,9,19
6.35,4.5,7.0,0.0,59.0,0.0,7.5,5.45,30.11,1.5,29.415,537.0,1753.0,69.5,77.0,61.5,63.5,2007,9,20
11.95,12.5,14.0,0.0,59.0,0.0,21.5,10.05,29.895,1.5,29.205,538.0,1751.0,77.5,89.0,66.0,66.0,2007,9,21
7.25,0.0,1.0,0.0,44.0,1.0,2.0,3.45,30.11,1.5,29.45,539.0,1749.0,64.0,73.0,54.5,54.0,2007,9,22
5.85,3.0,6.0,0.0,50.0,0.0,12.5,5.25,30.155,1.5,29.46,540.0,1748.0,68.0,83.5,52.5,58.5,2007,9,23
11.2,15.0,18.0,0.0,62.5,0.0,19.0,10.7,29.985,1.5,29.305,541.0,1746.0,80.0,90.5,69.5,68.5,2007,9,24
9.95,9.5,13.0,0.0,65.5,0.0,23.0,7.6,29.94,1.5,29.26,542.0,1744.0,74.5,84.0,65.0,69.0,2007,9,25
6.95,0.0,1.0,0.0,50.5,3.5,1.5,4.55,30.025,1.5,29.34,543.0,1742.0,61.5,68.5,54.0,55.5,2007,9,26
6.15,0.0,2.0,0.0,49.0,2.5,24.5,4.7,29.97,1.5,29.285,544.0,1741.0,62.5,74.5,50.5,55.0,2007,9,27
6.85,0.0,4.0,0.0,46.0,2.0,5.5,2.7,30.165,1.5,29.495,545.0,1739.0,63.0,73.0,53.0,53.5,2007,9,28
9.3,1.0,6.0,0.0,45.5,0.0,17.0,8.95,30.23,1.5,29.535,546.0,1737.0,66.0,81.0,51.0,55.0,2007,9,29
13.9,7.0,12.0,0.0,48.5,0.0,19.0,13.65,30.1,1.5,29.4,547.0,1735.0,72.0,83.5,60.0,59.0,2007,9,30
8.5,0.0,6.0,0.0,59.0,1.0,21.5,7.0,30.0,1.5,29.315,548.0,1734.0,64.0,68.5,59.0,61.0,2007,10,1
10.7,4.0,10.0,0.0,59.0,0.0,19.0,10.4,29.92,1.5,29.215,549.0,1732.0,69.0,79.0,58.0,63.0,2007,10,2
7.1,0.0,8.0,0.0,47.5,0.0,25.5,5.35,29.975,1.5,29.31,550.0,1730.0,65.0,74.0,55.5,56.0,2007,10,3
5.25,3.5,10.0,0.0,56.0,0.0,17.0,4.25,30.035,1.5,29.365,552.0,1729.0,68.5,82.5,53.5,61.5,2007,10,4
7.0,10.0,16.0,0.0,65.0,0.0,17.5,6.9,30.07,1.5,29.39,553.0,1727.0,75.0,84.5,65.0,68.5,2007,10,5
7.05,14.0,22.0,0.0,66.5,0.0,20.5,6.65,30.035,1.5,29.36,554.0,1725.0,79.0,87.5,70.0,70.5,2007,10,6
5.9,13.0,21.0,0.0,65.5,0.0,19.0,5.25,30.02,1.5,29.345,555.0,1724.0,78.0,87.5,68.5,70.0,2007,10,7
10.0,9.5,18.0,0.0,60.5,0.0,24.0,7.5,29.925,1.5,29.255,556.0,1722.0,74.5,87.5,61.0,66.0,2007,10,8
13.05,0.0,8.0,0.0,44.0,1.5,28.0,11.8,29.935,1.5,29.24,557.0,1720.0,63.5,76.5,49.5,53.0,2007,10,9
15.05,0.0,-4.0,0.0,37.5,14.5,31.0,14.75,29.93,1.5,29.235,558.0,1719.0,50.5,53.5,47.0,44.0,2007,10,10
14.2,0.0,-4.0,0.0,39.0,14.0,36.0,13.25,30.005,1.5,29.31,559.0,1717.0,51.0,55.0,47.0,45.0,2007,10,11
5.0,0.0,-5.0,0.0,35.0,15.0,35.5,3.1,30.02,1.5,29.31,600.0,1715.0,50.0,56.5,43.0,43.0,2007,10,12
4.1,0.0,-3.0,0.0,40.5,14.0,20.5,3.15,30.04,1.5,29.345,602.0,1714.0,51.0,59.0,42.0,47.0,2007,10,13
6.3,0.0,4.0,0.0,48.0,7.0,11.5,5.65,30.06,1.5,29.37,603.0,1712.0,58.0,62.0,54.0,52.5,2007,10,14
6.25,0.5,10.0,0.0,51.0,1.0,15.0,5.35,29.945,1.5,29.235,604.0,1711.0,64.5,75.5,53.0,57.0,2007,10,15
7.4,0.0,8.0,0.0,54.5,4.0,21.0,6.45,29.88,1.5,29.195,605.0,1709.0,61.0,67.5,54.0,57.5,2007,10,16
9.45,0.0,8.0,0.0,53.0,4.0,14.0,8.95,29.83,1.5,29.1,606.0,1707.0,61.0,73.0,48.5,57.0,2007,10,17
18.05,4.5,18.0,0.0,56.5,0.0,19.0,16.35,29.34,1.5,28.63,607.0,1706.0,69.5,78.5,59.5,61.5,2007,10,18
17.35,0.0,5.0,0.0,48.0,8.5,24.0,16.95,29.445,1.5,28.785,608.0,1704.0,56.5,60.5,52.5,52.0,2007,10,19
11.85,0.0,10.0,0.0,43.0,4.5,21.0,11.0,29.715,1.5,29.06,610.0,1703.0,60.5,73.5,47.0,52.0,2007,10,20
17.5,5.0,20.0,0.0,46.5,0.0,20.0,17.35,29.78,1.5,29.115,611.0,1701.0,70.0,79.5,60.5,56.5,2007,10,21
9.75,0.0,7.0,0.0,47.0,8.0,18.5,5.5,29.965,1.5,29.29,612.0,1660.0,57.0,66.5,46.5,50.5,2007,10,22
8.05,0.0,2.0,0.0,37.5,14.5,31.0,4.6,29.93,1.5,29.23,613.0,1658.0,50.5,55.5,44.5,44.5,2007,10,23
15.9,0.0,0.0,0.0,35.0,16.0,2.0,14.65,30.16,1.5,29.485,614.0,1657.0,49.0,54.0,44.0,42.5,2007,10,24
14.4,0.0,2.0,0.0,39.5,14.5,6.0,14.2,30.2,1.5,29.495,616.0,1656.0,50.5,56.0,45.0,46.0,2007,10,25
7.05,0.0,11.0,0.0,48.5,5.5,5.5,5.2,30.065,1.5,29.345,617.0,1654.0,59.5,65.5,53.0,52.0,2007,10,26
9.5,0.0,-2.0,0.0,39.5,18.0,31.5,8.65,30.25,1.5,29.59,618.0,1653.0,47.0,56.0,38.0,45.5,2007,10,27
